"Name","Team","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Saxon Butler","Yankees","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".231",".278",".382",".660",".292"," ","82","0.0","0.0"," ","0.0","0.0","0.0","sa658939"
"James Cesario","Rockies","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".257",".296",".362",".658",".292"," ","67","0.0","0.0"," ","0.0","0.0","0.0","sa462937"
"Kenen Bailli","Blue Jays","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".242",".286",".372",".658",".291"," ","82","0.0","0.0"," ","0.0","0.0","0.0","sa607356"
"Jayce Boyd","Mets","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".240",".297",".354",".651",".291"," ","88","0.0","0.0"," ","0.0","0.0","0.0","sa502020"
"Matt Rizzotti","Athletics","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".235",".294",".362",".656",".291"," ","87","0.0","0.0"," ","0.0","0.0","0.0","sa389429"
"Michael Hernandez","Tigers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".235",".279",".377",".656",".290"," ","82","0.0","0.0"," ","0.0","0.0","0.0","sa325559"
"Luke Montz","Athletics","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".207",".275",".377",".652",".289"," ","86","0.0","0.0"," ","0.0","0.0","0.0","6601"
"Jason Giambi","Indians","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".212",".291",".355",".646",".289"," ","85","0.0","0.0"," ","0.0","0.0","0.0","818"
"Seth Loman","Braves","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".223",".280",".371",".650",".288"," ","82","0.0","0.0"," ","0.0","0.0","0.0","sa326152"
"Brian Fletcher","White Sox","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".235",".279",".371",".650",".288"," ","81","0.0","0.0"," ","0.0","0.0","0.0","sa526538"
"Wilson Betemit","Orioles","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".221",".284",".364",".648",".287"," ","80","0.0","0.0"," ","0.0","0.0","0.0","1861"
"Carlos Rivero","Red Sox","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".244",".287",".358",".644",".286"," ","77","0.0","0.0"," ","0.0","0.0","0.0","1136"
"Kody Hinze","Astros","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".213",".280",".359",".639",".285"," ","81","0.0","0.0"," ","0.0","0.0","0.0","sa455593"
"Tim Smith","Braves","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".235",".285",".355",".640",".284"," ","79","0.0","0.0"," ","0.0","0.0","0.0","sa390330"
"Zane Chavez","Orioles","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".235",".284",".353",".637",".284"," ","78","0.0","0.0"," ","0.0","0.0","0.0","sa628321"
"Matthew Sweeney","Orioles","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".225",".277",".359",".637",".284"," ","77","0.0","0.0"," ","0.0","0.0","0.0","sa327050"
"Yordanys Perez"," ","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".231",".274",".365",".639",".283"," ","76","0.0","0.0"," ","0.0","0.0","0.0","sa599503"
"Nolan Reimold","Orioles","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".214",".275",".360",".635",".282"," ","73","0.0","0.0"," ","0.0","0.0","0.0","3441"
"Josh Ford"," ","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".230",".280",".356",".635",".282"," ","73","0.0","0.0"," ","0.0","0.0","0.0","sa294416"
"David Chester","Red Sox","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".221",".267",".369",".636",".282"," ","74","0.0","0.0"," ","0.0","0.0","0.0","sa598680"
"Dario Pizzano","Mariners","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".227",".285",".345",".630",".282"," ","81","0.0","0.0"," ","0.0","0.0","0.0","sa658253"
"Ian Gac"," ","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".216",".269",".364",".634",".281"," ","77","0.0","0.0"," ","0.0","0.0","0.0","sa244078"
"Michael Gonzales","Twins","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".222",".273",".359",".632",".281"," ","77","0.0","0.0"," ","0.0","0.0","0.0","sa455046"
"Jimmy Paredes","Orioles","215","202","49","9","1","4","20","20","9","53","1","7","3"," ",".243",".276",".360",".636",".280"," ","75","0.1","-1.1"," ","-5.8","-2.6","-0.2","5481"
"Brian Van Kirk","Blue Jays","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".224",".288",".334",".622",".280"," ","74","0.0","0.0"," ","0.0","0.0","0.0","sa262432"
"Alexander Burg","Rangers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".220",".279",".345",".624",".279"," ","74","0.0","0.0"," ","0.0","0.0","0.0","sa502124"
"Chris Jacobs","White Sox","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".208",".272",".353",".625",".279"," ","79","0.0","0.0"," ","0.0","0.0","0.0","sa389213"
"Jeremie Tice","Indians","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".220",".271",".355",".626",".278"," ","78","0.0","0.0"," ","0.0","0.0","0.0","sa454601"
"Mike Bianucci","Royals","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".223",".260",".369",".628",".277"," ","80","0.0","0.0"," ","0.0","0.0","0.0","sa389801"
"Lane Adams","Royals","14","12","3","1","0","0","1","1","1","3","0","0","0"," ",".228",".279",".341",".621",".277"," ","74","0.0","-0.1"," ","-0.4","0.0","0.0","10767"
"Telvin Nash","Astros","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".191",".259",".363",".621",".277"," ","75","0.0","0.0"," ","0.0","0.0","0.0","sa501240"
"Chun-Hsiu Chen","Indians","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".219",".280",".339",".620",".277"," ","77","0.0","0.0"," ","0.0","0.0","0.0","sa455954"
"M.P. Cokinos","Astros","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".239",".280",".341",".621",".276"," ","75","0.0","0.0"," ","0.0","0.0","0.0","sa658820"
"Jordan Brown","Marlins","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".244",".278",".346",".624",".276"," ","72","0.0","0.0"," ","0.0","0.0","0.0","4121"
"Tony Plagman","Tigers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".218",".268",".354",".622",".275"," ","72","0.0","0.0"," ","0.0","0.0","0.0","sa503690"
"Shelley Duncan","Rays","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".205",".272",".342",".614",".275"," ","78","0.0","0.0"," ","0.0","0.0","0.0","3620"
"Stephen Mcquail","Diamondbacks","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".215",".253",".370",".623",".274"," ","68","0.0","0.0"," ","0.0","0.0","0.0","sa549303"
"Edinson Rincon","Royals","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".235",".275",".340",".616",".274"," ","72","0.0","0.0"," ","0.0","0.0","0.0","sa397812"
"Ben Francisco","Yankees","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".221",".280",".331",".611",".274"," ","70","0.0","0.0"," ","0.0","0.0","0.0","4677"
"Robbie Widlansky","Angels","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".231",".284",".330",".614",".274"," ","78","0.0","0.0"," ","0.0","0.0","0.0","sa389390"
"Aaron Dudley","Marlins","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".226",".275",".338",".613",".273"," ","70","0.0","0.0"," ","0.0","0.0","0.0","sa549425"
"A.J. Kirby-Jones","Braves","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".204",".268",".341",".609",".273"," ","71","0.0","0.0"," ","0.0","0.0","0.0","sa548449"
"Adam Milligan","Braves","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".212",".257",".359",".615",".272"," ","71","0.0","0.0"," ","0.0","0.0","0.0","sa328331"
"Justin Howard","Pirates","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".222",".279",".328",".607",".272"," ","73","0.0","0.0"," ","0.0","0.0","0.0","sa549676"
"Chad Tracy","Royals","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".211",".264",".347",".611",".272"," ","70","0.0","0.0"," ","0.0","0.0","0.0","sa326677"
"Erik Castro","Braves","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".207",".273",".332",".605",".271"," ","70","0.0","0.0"," ","0.0","0.0","0.0","sa501648"
"Alejandro Segovia","Rays","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".206",".269",".333",".603",".271"," ","76","0.0","0.0"," ","0.0","0.0","0.0","sa504965"
