"Name","Team","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Shawn Zarraga","Dodgers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".248",".309",".338",".647",".291"," ","80","0.0","0.0"," ","0.0","0.0","0.0","sa456095"
"Austin Barnes","Dodgers","31","28","7","1","0","1","3","3","2","5","0","0","0"," ",".235",".297",".351",".648",".290"," ","86","0.0","0.0"," ","-0.5","0.6","0.1","12158"
"Daniel Butler","Red Sox","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".230",".292",".358",".650",".290"," ","80","0.0","0.0"," ","0.0","0.0","0.0","9968"
"James Skelton","Nationals","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".235",".305",".337",".643",".290"," ","82","0.0","0.0"," ","0.0","0.0","0.0","sa253647"
"George Kottaras","Blue Jays","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".197",".291",".355",".646",".290"," ","81","0.0","0.0"," ","0.0","0.0","0.0","5506"
"Josh Thole","Blue Jays","48","43","10","2","0","1","5","4","4","8","0","0","0"," ",".241",".307",".340",".647",".289"," ","80","-0.2","-0.4"," ","-1.3","0.6","0.1","9689"
"Blake Swihart","Red Sox","92","86","21","4","1","2","10","9","5","17","0","1","1"," ",".245",".288",".365",".653",".289"," ","79","0.0","0.0"," ","-2.1","1.9","0.3","13176"
"Kevin Plawecki","Mets","31","29","7","1","0","1","3","3","2","4","0","0","0"," ",".239",".288",".361",".649",".288"," ","86","0.0","0.0"," ","-0.5","0.6","0.1","13807"
"JR Murphy","Yankees","112","103","24","5","0","3","11","12","7","22","1","1","0"," ",".230",".279",".370",".649",".288"," ","80","0.1","0.0"," ","-2.4","2.4","0.4","10346"
"Jose Lobaton","Nationals","155","139","32","7","0","2","13","14","13","36","1","1","0"," ",".234",".301",".340",".641",".288"," ","80","-0.3","-0.3"," ","-3.7","2.4","0.4","4243"
"Rene Rivera","Rays","386","353","82","16","1","9","37","39","25","84","3","2","1"," ",".231",".285",".363",".649",".287"," ","87","-0.7","3.2"," ","-6.2","11.3","1.9","3648"
"Taylor Davis","Cubs","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".238",".286",".360",".645",".286"," ","78","0.0","0.0"," ","0.0","0.0","0.0","sa578786"
"Kevan Smith","White Sox","12","11","3","0","0","0","1","1","1","2","0","0","0"," ",".229",".283",".359",".642",".285"," ","77","0.0","0.0"," ","-0.3","0.3","0.0","sa599392"
"Jason Hagerty","Padres","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".222",".292",".345",".636",".285"," ","84","0.0","0.0"," ","0.0","0.0","0.0","sa501451"
"Brayan Pena","Reds","273","254","64","12","1","4","23","25","13","34","1","2","2"," ",".250",".289",".355",".644",".285"," ","78","-2.1","-1.0"," ","-9.0","0.6","0.0","3231"
